"celex","date"
"32002D0580","2002-06-18"
"32008D0075","2008-01-21"
"32002D0266","2002-03-25"
"31975D0520","1975-02-17"
"32015D0771","2015-05-07"
"32005D0756","2005-10-17"
"31995D0137","1995-04-07"
"31975D0423","1975-06-16"
"31985D0317","1985-06-05"
"31979D0423","1979-04-09"
"32003D0324","2003-05-12"
"31970D0408","1970-07-31"
"32017D0050","2017-01-11"
"32001D0391","2001-05-14"
"31988D0240","1988-03-14"
"32013D0005(01)","2013-03-20"
"32006D0023(01)","2006-12-15"
"32014D0092","2014-02-14"
"31985D0206","1984-12-19"
"32001D0479","2001-06-11"
"31988D0389","1988-06-22"
"32014D0819","2014-11-17"
"32016D0923(02)","2016-09-20"
"31967D0038","1966-12-07"
"31983D0279","1983-05-25"
"32015D2373","2015-11-26"
"31999D0356","1999-05-28"
"32008D0877","2008-10-24"
"31980D1168","1980-12-01"
"31978D0702","1978-07-24"
"31981D0019","1981-01-20"
"31978D0224","1978-02-09"
"32011D0727","2011-11-07"
"31989D0262","1989-03-21"
"32001D0089","1999-06-23"
"31978D0123","1977-12-28"
"32011D0221","2011-04-06"
"32002D0554","2000-03-30"
"32007D0794","2007-11-29"
"31975D0750","1975-11-24"
"32007D0854","2007-12-04"
"32017D1243","2017-05-29"
"32012D0480","2012-08-16"
"31973D0394","1973-11-12"
"32004D0667","2004-09-27"
"31990D0431","1990-07-30"
"31978D0391","1978-04-06"
"31983D0311","1982-07-07"
"31962D991003P0864","1962-03-09"
"31988D0198","1988-02-18"
"31979D1002","1979-11-22"
"32006D0024(01)","2006-12-15"
"31993D0560","1993-10-25"
"31980D0267","1980-02-13"
"32014D0423","2014-07-01"
"31999D0501","1999-07-01"
"32016D0551","2016-03-23"
"31983D0604","1983-11-29"
"32012D0262","2012-05-16"
"32010D0168","2010-03-22"
"31990D0057","1990-01-24"
"31999D0814","1999-11-16"
"31974D0603","1974-11-28"
"31990D0097","1989-12-20"
"31979D0614","1979-06-22"
"31964D0599","1964-10-22"
"31964D0698","1964-11-12"
"31979D0732","1979-08-01"
"32000D0187","2000-02-17"
"32010D0424(01)","2009-06-12"
"31978D0019","1977-12-07"
"31999D0564","1999-07-28"
"32001D0522","2001-02-07"
"32011D0810(01)","2011-08-09"
"31989D0304","1989-04-20"
"32016D1892","2016-10-10"
"32011D0339","2011-05-27"
"32015D1010","2014-11-18"
"31988D0647","1988-12-21"
"32003D0476","2003-06-18"
"31981D0868","1981-07-23"
"31964D0067","1963-12-17"
"32012D0712(01)","2012-07-11"
"31978D0883","1978-10-20"
"32004D0253","2004-03-10"
"31984D0472","1984-05-16"
"32012D0729","2012-11-23"
"31999D0202","1999-02-25"
"31995D0425","1995-10-13"
"31980D1225","1980-12-11"
"31990D0170","1990-04-02"
"31961D1120(03)","1961-07-27"
"31994D0701","1994-10-24"
"31989D0305","1988-12-21"
"32000D0203","2000-02-24"
"32014D0706","2014-10-08"
"32009D0418","2009-04-25"
"32000D0095","1999-12-20"
"31993D0034","1992-12-16"
"31998D0622","1998-10-27"
"32007D0773","2007-11-26"
"31994D0350","1994-04-21"
"31994D1020","1994-12-16"
"31966D0590","1966-09-26"
"31993D0607","1993-11-15"
"32009D0463","2009-05-18"
"32002D0687","2000-05-24"
"32001D0392","2001-05-04"
"32000D0744","2000-10-30"
"32000D0524","2000-01-18"
"31997D0848","1997-12-03"
"31995D0539","1995-12-08"
"32003D0909","2003-12-22"
"31988D0345","1988-06-22"
"31987D0442","1987-08-13"
"32002D0591","2002-07-11"
"32016D2062","2016-11-23"
"32001D0380","2001-05-14"
"31980D0224","1980-01-29"
"31978D0247","1977-12-20"
"31988D0258","1988-03-24"
"32017D0290","2017-02-17"
"31981D0890","1981-11-03"
"31981D0665","1981-04-24"
"32010D0415","2007-07-04"
"32007D0604","2007-09-07"
"31982D0870","1982-12-16"
"31997D0458","1997-07-01"
"31988D0009","1987-12-11"
"31977D0772","1977-11-23"
"31968D0174","1968-03-20"
"32005D0313","2004-03-16"
"31980D1027","1980-10-20"
"31993D0558","1993-10-25"
"32003D0061","2003-01-27"
"31996D0005","1995-12-13"
"31962D0235P1322","1962-03-28"
"32014D0883","2014-02-11"
"31986D0036","1986-02-26"
"32007D0684","2007-10-24"
"31973D0292","1973-09-20"
"31977D0447","1977-06-24"
"32001D0456","2001-06-13"
"32002D0255","2002-03-25"
"32005D0816","2005-11-21"
"32008D0901","2008-12-02"
"32004D0071","2003-09-04"
"32000D0113","2000-01-14"
"32008D0709","2008-03-11"
"31999D0454","1999-06-22"
"32003D0595","2003-03-05"
"31993D0427","1993-07-07"
"31994D0927","1994-12-22"
"31997D0604","1997-08-05"
"31993D0613","1993-11-26"
"32006D0618","2006-07-24"
"32017D0864","2017-05-17"
"32008D0029","2007-12-18"
"31996D0382","1996-06-10"
"32007D0259","2007-04-16"
"31996D0012","1995-12-19"
"31982D0656","1982-09-10"
"31978D0704","1978-07-25"
"32009D1001","2009-12-22"
"32009D0250","2009-03-16"
"32009D0755","2009-10-13"
"31989D0274","1989-03-30"
"32011D0146","2011-03-07"
"31988D0628","1988-11-24"
"31993D0676","1993-12-10"
"31980D0738","1980-07-22"
"32012D0830","2012-12-07"
"32011D0161","2011-02-28"
"32016D1897","2016-10-27"
"31971D0040","1970-12-28"
"31991D0361","1991-06-14"
"32007D0725","2007-09-25"
"32008D0095","2008-01-25"
"32013D0470","2013-09-20"
"31981D0662","1981-07-28"
"31992D0472","1992-09-14"
"32001D0046","2000-07-26"
"31979D0853","1979-10-01"
"31980D0605","1980-06-27"
"32005D0697","2005-09-12"
"32000D0281","2000-03-31"
"31983D0020","1983-01-13"
"31988D0100","1988-01-12"
"32016D0851","2016-05-26"
"32016D1916","2016-10-27"
"32001D0098","1999-10-13"
"31989D0223","1989-03-09"
"32017D0607","2017-03-29"
"32008D0989","2008-12-23"
"32015D0514(01)","2015-05-11"
"31961D0503P0792","1961-05-03"
"31992D0339","1992-06-02"
"32016D1795","2016-09-29"
"31975D0092","1974-12-17"
"31985D0105","1984-12-19"
"31973D0390","1973-11-09"
"31993D0683","1993-10-29"
"32015D1890","2014-06-20"
"31971D0159","1971-02-08"
"32002D0845","2002-09-30"
"32002D0312","2002-04-15"
"31999D0257","1999-03-29"
"32012D0439","2012-07-24"
"31972D0356","1972-10-18"
"32004D0131","2004-02-09"
"32016D2086","2016-11-28"
"32000D0150","2000-02-22"
"32010D0065","2010-02-05"
"32003D0706","2003-04-23"
"31987D0207","1987-03-12"
"31996D0724(01)","1996-06-25"
"32015D1216(01)","2015-12-14"
"31988D0533","1988-10-07"
"31979D0768","1979-08-23"
"31963D0408","1963-06-14"
"32009D0739","2009-10-02"
"32003D0690","2003-10-02"
"31975D0514","1975-08-25"
"31966D0645","1966-10-27"
"31993D0648","1993-07-29"
"32016D1757","2016-09-29"
"32017D0721","2017-04-20"
"31996D0471","1996-02-28"
"32001D0537","2001-07-13"
"31980D0236","1979-12-21"
"31966D0229","1966-03-29"
"31960D0511","1960-05-05"
"32004D0612","2004-07-28"
"32002D0809","2002-10-08"
"31963D0003","1962-12-18"
"32003D0426(01)","2003-04-14"
"32016D1811","2016-10-11"
"32003D0881","2003-12-11"
"32002D0267","2001-10-23"
"31973D0067","1973-03-22"
"31990D0574","1990-06-06"
"31980D1117","1980-12-04"
"31998D0284","1998-04-08"
"32003D0650","2003-05-26"
"32002D0171","2001-10-02"
"32016D1362","2016-08-09"
"32004D0590","2004-06-04"
"32004D0162","2004-02-10"
"32001D0901","2001-12-10"
"31993D0723","1993-11-23"
"31995D2493","1995-10-23"
