"celex","date","dateforce","dateendvalid","lbs","lbcelex","lbsuffix","force","datetranspos"
"31984L0378","1984-06-28","1984-07-05","2000-07-29","614e9335-f623-406c-987c-c5924e385170","31977L0093","A13","false","1985-07-01"
"31989L0194","1989-03-13","1989-03-17","1994-03-02","0b35ab4b-ea09-47e8-b302-b321e5587ffe","11957E099",NA,"false","1989-01-01"
"31979L0173","1979-02-06","1979-02-09","1985-12-31","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false",NA
"31993L0004","1993-02-08","1993-02-17","1993-07-05","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1993-07-01"
"31966L0683","1966-11-07","1966-11-09","9999-12-31","76ecfd59-a3ff-4d53-9c2a-072c367b30e5","11957E033","P7","true","1967-02-01"
"31992L0017","1992-03-17","1992-03-18","1993-02-10","ebf9dd6e-86ac-449f-94d3-1704bba8f7db","31966L0403","A15P2BIS","false",NA
"31983L0447","1983-08-18","1983-08-18","1992-01-01","4fa1cedd-abf9-42fb-befe-e2fae328e3be","31976L0890","A03P3","false","1983-10-18"
"31966L0162","1966-02-28","1966-03-01","1999-07-30","d4b0fa07-500a-4196-afc5-43547911a9e2","11957E063","P3","false","1973-07-01"
"31982L0957","1982-12-22","1982-12-29","1990-01-30","4a44c841-03c0-4bf6-b8f3-36600a5a1ae6","31979L0373","A10PTA","false","1985-01-01"
"31974L0508","1974-09-30","1974-09-30","1975-09-29",NA,NA,NA,"false",NA
"31983L0087","1983-02-21","1983-02-22","1998-07-01","14b30172-7154-434f-873c-e68f7272bd26","31977L0101","A10","false",NA
"31967L0126","1967-01-31","1967-01-31","1969-12-31","7e0a743d-56c7-441e-9cc5-e2017fbadb1b","11957E013","P02","false","1968-07-01"
"31980L0218","1980-01-22","1980-01-01","1980-06-30","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
"31976L0463","1976-05-04","1978-05-05","1997-01-19","717d794f-a381-40ef-9f3f-c25d3375c4ad","31964L0054","A08","false","1977-05-04"
"31994L0055(02)","2004-01-26",NA,NA,NA,NA,NA,NA,NA
"31968L0366","1968-10-15","1968-10-16","1999-07-30","d4b0fa07-500a-4196-afc5-43547911a9e2","11957E063","P2","false","1969-04-16"
"31975L0784","1975-12-18","1975-12-19","1978-12-31","09725608-b0ca-427d-b8e2-13a50aff614c","11957E108","P2","false",NA
"31986L0524","1986-10-27","1986-10-30","1996-03-16","dc576cb4-5040-42c2-837e-c6f19c43d6c4","11957E057","P2","false","1986-12-31"
"31964L0486","1964-07-28","1964-07-30","1967-12-31","76ecfd59-a3ff-4d53-9c2a-072c367b30e5","11957E033","P7","false","1967-01-01"
"31984L0086","1984-02-06","1984-02-09","1984-04-13","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
"31984L0261","1984-05-07","1984-05-14","1995-03-25","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
"31984L0223","1984-04-10","1984-04-13","1984-05-14","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
"31975L0269","1975-04-28","1975-04-30","9999-12-31","86e63262-05ec-4633-94bd-9226dc1b094a","31975L0268","A02P2","true",NA
"31977L0648","1977-10-11","1977-10-14","1978-09-27","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1978-12-31"
"31974L0195","1974-04-10","1974-04-11","1976-07-29","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false","1975-03-01"
"31965L0264","1965-05-13","1965-05-14","1999-07-30","d4b0fa07-500a-4196-afc5-43547911a9e2","11957E063","P2","false","1973-07-01"
"31967L0531","1967-07-25","1967-07-26","1999-07-30","aa9dd2d0-11e0-40df-8e04-b38cb2200e9c","11957E054","P3","false","1968-01-26"
"31981L1016","1981-12-15","1981-12-21","1983-12-31","b4b312f4-ba77-4cc7-99cd-5fc19c85d2cd","31964L0432","A07P1C)","false","1982-01-01"
"31992L0029","1992-03-31","1992-04-10","9999-12-31","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","true","1994-12-31"
"31984L0335","1984-06-19","1984-03-29","2005-12-31","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1984-06-30"
"31994L0021","1994-05-30","1994-07-20","1997-12-31","cc299c53-3d01-42ec-ad9d-05195509c52e","11992E189B",NA,"false","1994-12-31"
"31996L0029","1996-05-13","2000-05-13","2018-02-05","4a0342aa-0744-4a9d-9b8e-341c0e45f8ea","11957A032",NA,"false","2000-05-13"
"32010L0035","2010-06-16","2010-07-20","9999-12-31","d5a84f05-84b6-456e-92d5-e94879c9719a","12010E294",NA,"true","2011-06-30"
"31979L0370","1979-01-30","1979-02-07","2015-05-31","8e12a450-cb71-4356-bd3b-8a9f980208a0","31967L0548","A08BIS","false","1979-12-31"
"31981L0643","1981-07-29","1981-08-18","2014-10-31","33214808-2cf0-4970-9dec-8f8843c3468d","31970L0156","A11","false","1981-12-31"
"31995L0004","1995-02-21","1995-03-07","2000-07-29","614e9335-f623-406c-987c-c5924e385170","31977L0093","A13P2TIRE2","false","1995-04-01"
"32006L0125","2006-12-05","2006-12-26","9999-12-31","9efdc24b-805a-40a7-a2bb-450e836dd006","31989L0398","A04P1","true","1997-09-30"
"31989L0014","1988-12-15","1988-12-15","9999-12-31","6158267d-6239-484f-a22b-f0fe6256942f","31970L0458","N01P4PTA","true","1990-01-01"
"32014L0077","2014-06-10","2014-07-01","9999-12-31","9cdbfc9b-d814-4e9e-b05d-49dbb7c97ba1","31998L0070","A10P1","true","2015-06-11"
"32009L0009","2009-02-10","2009-03-06","2022-01-27","c2c47535-c88b-4327-b1cc-037151f17287","32001L0082","A88","false","2009-09-06"
"31984L0186","1984-03-26","1984-03-29","1984-03-29","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1984-03-31"
"31995L0498","1995-11-23","1995-11-30","9999-12-31","86e63262-05ec-4633-94bd-9226dc1b094a","31975L0268","A02P2","true",NA
"32002L0024","2002-03-18","2002-05-09","2015-12-31","77d8f3bb-cfe1-43e0-a854-f8c51b9ccda8","11997E251",NA,"false",NA
"31993L0040","1993-06-14","1993-08-24","2001-12-17","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1994-12-31"
"32000L0016","2000-04-10","2000-05-03","2010-08-31","5da7efe4-7429-4995-bb57-a0876f22f41c","11997E152","P4","false","2001-11-03"
"32012L0011","2012-04-19","2012-04-24","2013-06-28","5fb8c667-0bb3-4374-b64b-2e60567b0dfd","12010E153","P2","false","2013-10-31"
"32000L0004","2000-02-28","2000-04-08","2014-10-31","77d8f3bb-cfe1-43e0-a854-f8c51b9ccda8","11997E251",NA,"false","2001-04-07"
"31995L0064","1995-12-08","1996-01-19","2009-06-25","c48a5c6b-0eed-40ce-a41a-27ffe06cb170","11992E213",NA,"false","1997-01-01"
"31996L0046","1996-07-16","1996-05-01","2011-06-13","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A18P2","false","1997-04-30"
"31997L0045","1997-07-14","1997-07-27","2013-07-11","63b42f06-f411-4f26-9e75-e0a2cd5c68bf","31976L0768","A08P2","false","1998-06-30"
"31991L0188","1991-03-19","1991-03-22","2011-06-13","e3b248ee-4150-4c50-985b-b94bb5b356fb","31979L0117","A06","false","1992-03-31"
"32014L0098","2014-10-15","2014-11-05","9999-12-31","88c67828-631c-4053-9dc9-bb92a7fa8f9c","32008L0090","A04","true","2016-12-31"
"31974L0651","1974-12-19","1974-12-20","1992-12-31","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1975-04-01"
"31987L0522","1987-10-19","1987-10-26","1995-08-11","8d0c3365-8447-455b-9ecb-7d08622db2c6","31985R0797","A18","false",NA
"32008L0024","2008-03-11","2008-03-21","2013-12-31","74f202d1-b0ef-4eec-9e01-631eacaa5e60","12006E047","P2FR1","false",NA
"31994L0068","1994-12-16","1995-01-20","2014-10-31","33214808-2cf0-4970-9dec-8f8843c3468d","31970L0156","A13P2","false","1995-06-30"
"32009L0095","2009-07-31","2009-08-21","2013-08-31","dd121338-803b-4793-b8bd-6db66b18104a","31998L0008","A16P2L2","false","2010-08-31"
