"celex","date_force","force"
"31952S0002","1953-01-01","false"
"31952S0003","1953-01-01","false"
"31952S0004","1953-01-01","true"
"31953D0004","1953-02-12","false"
"31953D0030","1953-05-04","true"
"31953D0031","1953-05-04","false"
"31953D0032","1953-05-21","false"
"31953D0038","1953-07-21","true"
"31953D0210(06)","1953-01-16","true"
"31953S0028","1953-03-15","false"
"31953S0037","1953-08-31","false"
"31954D0001","1954-02-01","false"
"31954D0037","1954-08-01","false"
"31954D0401P0311","1955-04-10","false"
"31954Q1101","1954-11-25","false"
"31954Q1124","1954-11-05","false"
"31954S0002","1954-02-01","false"
"31954S0021","1954-04-01","false"
"31954S0022","1954-04-01","false"
"31954S0024","1954-06-01","true"
"31954S0025","1954-06-01","false"
"31954S0026","1954-06-01","true"
"31954S0028","1954-06-01","false"
"31954S0030","1954-08-01","true"
"31955S0014","1955-04-01","false"
"31955S0021","1955-07-01","false"
"31955S0026","1955-08-01","false"
"31955S0027","1955-09-01","false"
"31955S0029","1955-12-01","false"
"31955S0031","1955-12-01","false"
"31956D0032","1956-11-30","false"
"31956Q0924","1956-06-21","false"
"31956Q7000","1956-07-01","false"
"31956Q7001","1956-07-01","false"
"31956S0003","1956-02-27","false"
"31956S0004","1956-03-01","false"
"31956S0026","1956-08-01","false"
"31956S0033","1956-11-30","false"
"31957D0016","1957-08-01","false"
"31957D0017","1957-08-01","false"
"31957D0018","1957-08-01","false"
"31957D0024","1958-01-01","false"
"31957D0025","1958-01-01","false"
"31957D0026","1958-01-01","false"
"31957S0002","1957-02-01","false"
"31957S0013","1957-07-01","false"
"31957S0027","1958-01-01","false"
"31958D0003","1958-04-01","false"
"31958D0004","1958-04-02","false"
"31958D0033","1959-01-01","false"
"31958D1006(01)","1958-09-15","true"
"31958D1006(02)","1958-09-15","true"
"31958D1127(01)","1958-09-15","true"
"31958D1201P0688","1959-01-01","false"
"31958D1202P0694","1959-01-01","false"
"31958Q0101","1958-01-25","false"
"31958Q1006","1958-03-18","true"
"31958R0001","1958-10-26","true"
"31958R0001(01)","1958-10-26","true"
"31958R0001(02)","1958-12-17","false"
"31958R0002","1958-10-20","false"
"31958R0003(01)","1958-11-15","true"
"31958R0004","1959-01-01","false"
"31958R0004(01)","1958-11-05","false"
"31958R0005","1959-01-20","true"
"31958R0006","1959-01-20","true"
"31958S0013","1958-08-01","false"
"31958S0016","1958-08-01","false"
"31958S0023","1958-11-14","false"
"31959D0017","1959-04-01","false"
"31959D0022","1959-03-25","false"
"31959D0023","1959-04-01","false"
"31959D0031","1959-06-01","false"
"31959D0032","1959-06-01","false"
"31959D0702P0866","1959-07-27","false"
"31959D1217(09)","1959-09-18","false"
"31959D1217(10)","1959-09-18","false"
"31959K0211","1959-01-31","false"
"31959K0323","1959-03-14","false"
"31959L0221","1959-02-05","false"
"31959Q0301","1959-03-03","false"
"31959Q1216(01)","1959-12-16","false"
"31959R0002","1959-04-01","false"
"31959R0005","1959-03-01","true"
"31959R0007","1959-03-17","true"
"31959R0008","1959-06-01","false"
"31959S0004","1959-02-01","false"
"31959S0005","1959-02-01","false"
"31959S0027","1959-05-15","false"
"31959S0034","1959-07-01","false"
"31959S0044","1959-11-01","false"
"31960D0012","1960-05-18","false"
"31960D0101","1960-01-18","false"
"31960D0511","1960-05-11","true"
"31960D0712","1960-05-11","true"
"31960D1027(01)","1960-09-27","true"
"31960D1119(01)","1960-11-19","true"
"31960D1201P0029","1961-01-01","false"
"31960K1119","1960-11-06","false"
"31960L0201","1959-11-24","false"
"31960L0921","1960-05-11","false"
"31960Q0102","1960-03-07","false"
"31960Q0118","1960-01-18","false"
"31960Q0401","1960-05-23","false"
"31960Q0503","1960-04-20","true"
"31960Q0601","1960-06-23","false"
"31960R0009","1960-09-20","false"
"31960R0009(01)","1960-03-14","true"
"31960R0010","1960-09-20","false"
"31960R0011","1960-09-05","true"
"31960R0511","1960-06-01","false"
"31960S0018","1960-08-24","false"
"31960S0019","1960-08-24","false"
"31960S0020","1960-08-24","false"
"31960S0022","1960-09-29","true"
"31960Y0317(02)","1959-01-01","false"
"31961D0101P1062","1961-01-01","false"
"31961D0217(01)","1960-10-27","false"
"31961D0217(02)","1960-10-27","false"
"31961D0402P0741","1961-01-01","false"
"31961D0403P0742A","1961-01-01","false"
"31961D0404P0742B","1961-01-01","false"
"31961D0405P0743","1961-01-01","false"
"31961D0406P0744","1961-01-01","false"
"31961D0407P0745A","1961-01-01","false"
"31961D0408(01)","1961-04-08","true"
"31961D0408P0745B","1961-01-01","false"
"31961D0409P0746","1961-01-01","false"
"31961D0410P0747","1961-01-01","false"
"31961D0502P1064","1961-01-01","false"
"31961D0506P0914","1961-01-01","false"
"31961D0507P0915","1961-01-01","false"
"31961D0508P0916","1961-01-01","false"
"31961D0509P0917","1961-01-01","false"
"31961D0510P0918","1961-01-01","false"
"31961D0601P1606","1961-01-01","false"
"31961D0602P1607","1961-01-01","false"
"31961D0603P1608","1961-01-01","false"
"31961D0604P1609","1961-01-01","false"
"31961D0700P0878","1961-01-01","false"
"31961D0701P1064","1961-05-02","false"
"31961D0703P1610","1961-01-01","false"
"31961D0704P1611","1961-01-01","false"
"31961D0705P1612","1961-01-01","false"
"31961D0706P1612","1961-01-01","false"
"31961D0707P1613","1961-01-01","false"
"31961D0708P1614","1961-01-01","false"
"31961D0709P1615","1961-01-01","false"
"31961D0710P1616","1961-01-01","false"
"31961D0711P1617","1961-01-01","false"
"31961D0712P1618","1961-01-01","false"
"31961D0902P1459","1961-10-01","false"
"31961D1004P1619","1961-01-01","false"
"31961D1005P1620","1961-01-01","false"
"31961D1006P1621","1961-01-01","false"
"31961D1007P1622","1961-01-01","false"
"31961D1008P1624","1961-01-01","false"
"31961D1009","1961-10-09","true"
"31961D1104(01)","1961-11-04","true"
"31961D1104(02)","1961-11-04","true"
"31961D1200P1644","1962-01-01","false"
"31961D1203P0144","1962-02-01","false"
"31961D1205P0148","1961-01-01","false"
"31961D1206P0047","1962-01-01","false"
"31961D1207P0049","1962-01-01","false"
"31961D1209P0189","1962-01-01","false"
"31961D1210P0190","1962-01-01","false"
"31961D1211P0191","1962-01-01","false"
"31961D1212P0302","1962-01-01","false"
"31961D1213P0304","1962-01-01","false"
"31961D1214P0305","1962-01-01","false"
"31961D1215P0307","1962-01-01","false"
"31961D1216P0309","1962-01-01","false"
"31961D1217P0310","1962-01-01","false"
"31961D1218P0312","1962-01-01","false"
"31961D1219P0313","1962-01-01","false"
"31961D1220P0315","1962-01-01","false"
"31961D1221P0317","1962-01-01","false"
"31961D1222P0320","1962-01-01","false"
"31961D1223P0321","1962-01-01","false"
"31961D1224P0322","1962-01-01","false"
"31961D1225P0324","1962-01-01","false"
"31961D1226P0325","1962-01-01","false"
"31961D1227P0327","1962-01-01","false"
"31961D1228P0328","1962-01-01","false"
"31961D1229P0330","1962-01-01","false"
"31961D1230P0331","1962-01-01","false"
"31961D1231P0333","1962-01-01","false"
"31961D1232P0334","1962-01-01","false"
"31961D1233P0336","1962-01-01","false"
"31961D1234P0337","1962-01-01","false"
"31961D1235P0339","1962-01-01","false"
"31961G1203","1961-12-18","true"
"31961H0708(01)","1961-03-13","true"
"31961H0708(02)","1961-03-13","true"
"31961K0002","1961-12-13","false"
"31961L1513","1961-08-21","false"
"31961Q0101","1961-04-01","false"
"31961Q0102(01)","1961-04-01","false"
"31961Q1102(02)","1962-01-01","false"
"31961R0007","1959-12-31","true"
"31961R0012","1961-04-28","true"
"31961R0014","1961-09-04","false"
"31961R0015","1961-09-01","false"
"31961R0016","1962-01-01","false"
"31961R1101P1603","1961-12-19","false"
"31961S0008","1961-07-01","false"
"31961X1201","1961-12-18","true"
"31961X1202","1961-12-18","true"
"31961Y0607(01)","1960-01-01","false"
"31962D0001","1963-01-01","false"
"31962D0002","1962-03-26","false"
"31962D0011","1963-01-01","false"
"31962D0101P0164","1962-01-01","false"
"31962D0102P0384","1961-01-01","false"
"31962D0105P0146","1961-01-01","false"
"31962D0201P1229","1962-01-01","false"
"31962D0202P1234","1962-01-01","false"
"31962D0203P0264","1962-04-01","false"
"31962D0205P0265","1962-02-28","false"
"31962D0206P1237","1962-01-01","false"
"31962D0207P1239","1962-01-01","false"
"31962D0209P1289","1962-01-01","false"
"31962D0210P1290","1962-01-01","false"
"31962D0211P1292","1962-01-01","false"
"31962D0212P1294","1962-01-01","false"
"31962D0213P1295","1962-08-01","false"
"31962D0214P1297","1962-10-01","false"
"31962D0215P1298","1962-01-01","false"
"31962D0216P1300","1962-01-01","false"
"31962D0217P1301","1962-01-01","false"
"31962D0218P1302","1962-01-01","false"
"31962D0219P1304","1962-01-01","false"
"31962D0220P1305","1962-01-01","false"
"31962D0221P1306","1962-01-01","false"
"31962D0223P1309","1962-01-01","false"
"31962D0224P1311","1962-01-01","false"
"31962D0225P1314","1962-01-01","false"
"31962D0226P1315","1962-01-01","false"
"31962D0227P1316","1962-01-01","false"
"31962D0300P1062","1962-01-01","false"
"31962D0302P0864","1962-01-01","false"
"31962D0304P0866","1962-01-01","false"
"31962D0305P1312","1962-01-01","false"
"31962D0306P1095","1962-01-01","false"
"31962D0307P1097","1962-01-01","false"
"31962D0402P0995","1962-07-30","false"
"31962D0403(01)","1962-04-03","false"
"31962D0403P1002","1962-01-01","false"
"31962D0406P0999","1962-04-04","false"
"31962D0409P1531","1962-01-01","false"
"31962D0410P1533","1962-01-01","false"
"31962D0412P1063","1962-01-01","false"
"31962D0430(05)","1962-04-02","true"
"31962D0504","1962-01-01","false"
"31962D0505P1283","1962-05-16","false"
"31962D0508P1370","1962-01-01","false"
"31962D0509P1363","1962-06-01","false"
"31962D0510P2156","1962-01-01","false"
"31962D0511P2157","1962-01-01","false"
"31962D0602P1518","1962-08-01","false"
"31962D0605P1677","1962-07-01","false"
"31962D0706P1964","1962-07-01","false"
"31962D0722P2413","1962-01-01","false"
"31962D0723P2414","1962-01-01","false"
"31962D0726P2316","1962-08-15","false"
"31962D0728P1962","1962-07-30","false"
"31962D0729P2561","1962-07-01","false"
"31962D0730","1962-07-01","false"
"31962D0731P2566","1962-07-01","false"
"31962D0732P2568","1962-07-01","false"
"31962D0733P2569","1962-07-01","false"
"31962D1012P2698","1962-11-01","false"
"31962D1202P2885","1963-01-01","false"
"31962D1203P2888","1963-01-01","false"
"31962D1207P2953","1963-01-01","false"
"31962D1217(02)","1962-12-17","true"
"31962D1217(03)","1963-01-01","false"
"31962D1219","1962-12-19","false"
"31962D991003P0864","1962-01-01","false"
"31962H0117","1961-11-29","false"
"31962H0120(02)","1961-12-20","false"
"31962H0221(01)","1962-01-01","false"
"31962H0315","1962-01-01","false"
"31962H0417","1962-01-01","false"
"31962H0831(01)","1962-07-20","true"
"31962L0302","1962-03-08","true"
"31962L1367","1962-05-22","false"
"31962L1633","1962-03-08","false"
"31962L2005","1962-08-06","false"
"31962L2214","1962-08-03","false"
"31962L2645","1962-10-26","false"
"31962Q0301","1962-05-05","false"
"31962Q0402","1962-04-01","false"
"31962Q1015","1962-10-15","false"
"31962R0010","1961-12-19","false"
"31962R0011","1962-01-01","true"
"31962R0013","1962-01-10","false"
"31962R0014","1962-01-10","false"
"31962R0017","1962-03-13","true"
"31962R0019","1962-04-21","false"
"31962R0020","1962-04-21","false"
"31962R0021","1962-04-21","false"
"31962R0022","1962-04-21","false"
"31962R0023","1962-04-21","false"
"31962R0024","1962-04-21","false"
"31962R0025","1962-05-10","false"
"31962R0026","1962-04-21","false"
"31962R0027","1962-05-11","false"
"31962R0028","1962-06-17","false"
"31962R0031","1962-01-01","true"
"31962R0031(01)","1962-01-01","true"
"31962R0031(02)","1962-01-01","true"
"31962R0032","1962-01-01","false"
"31962R0033","1962-06-26","false"
"31962R0034","1962-07-01","false"
"31962R0035","1962-07-01","false"
"31962R0036","1962-06-26","false"
"31962R0038","1962-07-01","false"
"31962R0039","1962-07-01","false"
"31962R0040","1962-07-01","false"
"31962R0041","1962-07-01","false"
"31962R0042","1962-07-02","false"
"31962R0043","1962-07-01","false"
"31962R0044","1962-07-01","false"
"31962R0045","1962-04-05","false"
"31962R0046","1962-07-02","false"
"31962R0047","1962-07-01","false"
"31962R0048","1962-06-29","false"
"31962R0049","1962-07-01","false"
"31962R0050","1962-07-30","false"
"31962R0051","1962-07-01","false"
"31962R0052","1962-07-01","false"
"31962R0053","1962-07-01","false"
"31962R0054","1962-07-03","false"
"31962R0055","1962-07-03","false"
"31962R0056","1962-07-30","false"
"31962R0057","1962-07-01","false"
"31962R0058","1962-07-01","false"
"31962R0059","1962-07-11","false"
"31962R0060","1962-07-14","false"
"31962R0062","1962-01-10","false"
"31962R0063","1962-01-10","false"
"31962R0064","1962-07-21","false"
"31962R0073","1962-07-30","false"
"31962R0077","1962-07-30","false"
"31962R0109","1962-07-30","false"
"31962R0113","1962-08-01","false"
"31962R0114","1962-07-01","false"
"31962R0115","1962-08-01","false"
"31962R0116","1962-04-05","false"
"31962R0117","1962-08-01","false"
"31962R0123","1962-08-31","true"
"31962R0124","1962-10-01","false"
"31962R0129","1962-11-01","false"
"31962R0130","1962-10-31","false"
"31962R0133","1962-11-07","false"
"31962R0134","1962-11-07","false"
"31962R0135","1962-11-07","false"
"31962R0139","1962-11-22","false"
"31962R0140","1962-12-03","false"
"31962R0141","1962-03-13","false"
"31962R0143","1962-12-21","false"
"31962R0146","1962-12-09","false"
"31962R0147","1962-12-28","false"
"31962R0151","1963-01-02","false"
"31962R0153","1962-12-25","false"
"31962R0154","1962-12-29","false"
"31962R0155","1963-01-01","false"
"31962R0156","1963-01-01","false"
"31962R0159","1963-01-01","false"
"31962R0161","1963-01-01","false"
"31962R0166","1963-01-18","false"
"31962S0719","1962-01-10","false"
"31962Y0514(01)","1961-01-01","false"
"31963D0002","1962-05-14","false"
"31963D0003","1963-01-25","true"
"31963D0009","1962-05-14","false"
"31963D0019(01)","1964-01-20","true"
"31963D0020","1964-01-20","false"
"31963D0021","1964-01-20","false"
"31963D0022","1964-01-20","false"
"31963D0023","1964-01-20","true"
"31963D0024","1964-01-20","false"
"31963D0027","1963-06-22","false"
"31963D0032","1963-01-25","true"
"31963D0039","1962-01-01","false"
"31963D0049","1963-01-01","false"
"31963D0050","1963-01-01","false"
"31963D0101","1963-01-01","false"
"31963D0102","1963-01-01","false"
"31963D0103","1963-01-01","false"
"31963D0106","1962-11-01","false"
"31963D0117","1962-01-01","false"
"31963D0217","1963-03-01","false"
"31963D0226","1963-03-05","false"
"31963D0231","1963-03-01","false"
"31963D0233","1963-01-01","false"
"31963D0234","1963-01-01","false"
"31963D0235","1963-01-01","false"
"31963D0236","1963-01-01","false"
"31963D0252","1963-01-01","false"
"31963D0253","1963-01-01","false"
"31963D0254","1963-01-01","false"
"31963D0255","1963-01-01","false"
"31963D0256","1963-01-01","false"
"31963D0257","1963-01-01","false"
"31963D0258","1963-01-01","false"
"31963D0259","1963-01-01","false"
"31963D0260","1963-01-01","false"
"31963D0266","1963-04-02","true"
"31963D0267","1963-04-20","false"
"31963D0279","1963-04-04","false"
"31963D0283","1963-04-04","false"
"31963D0286","1963-04-30","false"
"31963D0307","1963-01-01","false"
"31963D0308","1963-01-01","false"
"31963D0309","1963-01-01","false"
"31963D0310","1963-01-01","false"
"31963D0311","1963-01-01","false"
"31963D0312","1963-01-01","false"
"31963D0314","1963-01-01","false"
"31963D0317","1963-05-24","false"
"31963D0362","1963-01-01","false"
"31963D0363","1963-01-01","false"
"31963D0364","1963-01-01","false"
"31963D0365","1963-01-01","false"
"31963D0366","1963-01-01","false"
"31963D0367","1963-01-01","false"
"31963D0368","1963-01-01","false"
"31963D0376","1963-06-18","false"
"31963D0383","1963-06-15","false"
"31963D0404","1963-01-01","false"
"31963D0405","1963-01-01","false"
"31963D0406","1963-01-01","false"
"31963D0407","1963-01-01","false"
"31963D0408","1963-01-01","false"
"31963D0409","1963-01-01","false"
"31963D0410","1963-01-01","false"
"31963D0411","1963-01-01","false"
"31963D0412","1963-01-01","false"
"31963D0413","1963-01-01","false"
"31963D0414","1963-01-01","false"
"31963D0431","1963-07-01","false"
"31963D0432","1963-07-01","false"
"31963D0434","1963-01-01","false"
"31963D0435","1963-01-01","false"
"31963D0436","1963-01-01","false"
"31963D0437","1963-01-01","false"
"31963D0438","1963-01-01","false"
"31963D0439","1963-01-01","false"
"31963D0454","1963-07-01","false"
"31963D0464","1963-07-01","false"
"31963D0465","1963-07-01","false"
"31963D0466","1963-07-01","false"
"31963D0467","1963-07-01","false"
"31963D0484","1963-07-01","false"
"31963D0491","1962-01-01","true"
"31963D0501","1963-08-15","false"
"31963D0502","1963-08-15","false"
"31963D0503","1963-07-01","false"
"31963D0504","1963-07-30","false"
"31963D0510","1963-07-31","false"
"31963D0573","1963-12-01","false"
"31963D0574","1963-12-01","false"
"31963D0580","1963-10-24","false"
"31963D0605","1963-10-28","false"
"31963D0606","1963-10-28","false"
"31963D0619","1963-11-01","false"
"31963D0626","1964-01-01","false"
"31963D0628","1963-09-10","false"
"31963D0630","1963-10-11","false"
"31963D0631","1963-10-10","false"
"31963D0638","1964-01-01","false"
"31963D0641","1963-11-08","false"
"31963D0658","1964-01-01","false"
"31963D0664","1963-12-02","false"
"31963D0676","1963-12-09","false"
"31963D0677","1963-12-09","false"
"31963D0684","1964-01-01","false"
"31963D0685","1964-02-01","false"
"31963H0486","1963-07-31","false"
"31963H0659","1964-01-01","false"
"31963L0021","1962-12-18","false"
"31963L0261","1963-04-03","false"
"31963L0262","1963-04-03","false"
"31963L0340","1963-06-04","false"
"31963L0474","1963-06-04","true"
"31963L0600","1963-10-18","false"
"31963L0601","1963-10-15","false"
"31963L0607","1963-10-15","false"
"31963Q0688","1963-12-18","false"
"31963R0001","1963-01-23","false"
"31963R0001(01)","1963-01-01","false"
"31963R0002","1962-07-01","true"
"31963R0003","1963-02-01","false"
"31963R0003(01)","1962-01-01","false"
"31963R0004","1963-01-31","false"
"31963R0004(01)","1963-08-01","false"
"31963R0005","1963-02-02","false"
"31963R0006","1963-02-02","false"
"31963R0006(01)","1963-09-01","false"
"31963R0007","1963-12-30","true"
"31963R0008","1963-03-01","false"
"31963R0009","1963-03-19","false"
"31963R0009(01)","1964-01-01","false"
"31963R0010","1963-03-15","false"
"31963R0010(01)","1964-01-01","false"
"31963R0011","1963-03-15","false"
"31963R0012","1963-02-28","false"
"31963R0016","1963-03-26","false"
"31963R0017","1963-01-01","false"
"31963R0018","1962-07-01","true"
"31963R0020","1963-03-09","false"
"31963R0021","1963-04-02","false"
"31963R0022","1963-03-18","false"
"31963R0023","1963-03-28","false"
"31963R0024","1963-03-28","false"
"31963R0025","1963-03-28","false"
"31963R0028","1963-04-01","false"
"31963R0029","1963-04-01","false"
"31963R0030","1963-04-30","false"
"31963R0031","1963-04-03","false"
"31963R0033","1963-04-27","false"
"31963R0035","1963-05-01","false"
"31963R0036","1963-04-20","false"
"31963R0046","1963-06-05","false"
"31963R0047","1963-06-30","false"
"31963R0048","1963-06-28","false"
"31963R0049","1963-07-17","false"
"31963R0050","1963-06-28","false"
