"celex","date"
"32001H0458","2001-06-05"
"31987H0185","1987-02-06"
"31982H0181","1982-02-03"
"32012H0090","2012-02-14"
"31992H0383","1992-06-05"
"31962H0816","1962-07-23"
"31972H0368","1972-10-17"
"31974H0435","1974-08-02"
"32015H0818(22)","2015-07-14"
"32016H0818(26)","2016-07-12"
"32011H0722(01)","2011-07-12"
"32013H0326(02)","2013-03-21"
"31973H0185","1973-05-15"
"32009H0329","2009-03-26"
"32014H0053","2014-01-29"
"31996H0592","1996-05-31"
"32004H0394","2004-04-29"
"31994H0390","1994-05-25"
"31962H0629","1962-05-25"
"32013H0927(01)","2013-06-19"
"31981H0560","1981-07-13"
"31989H0213","1989-03-20"
"32015H0818(10)","2015-07-14"
"32006H0565","2006-08-11"
"32001H0205","2001-03-12"
"32011H0721(03)","2011-07-12"
"31974H0256","1974-04-17"
"31999H0333","1999-03-03"
"31987H0180","1987-03-09"
"32003H0579","2003-07-22"
"31984H0222","1984-04-10"
"31998H0485","1998-07-01"
"31983H0230","1983-04-21"
"31976H0333","1976-03-16"
"31965H0030","1965-01-11"
"31989H0012","1988-12-21"
"31970H0112","1970-01-23"
"31967H0741","1967-11-28"
"32012H0724(10)","2012-07-10"
"31970H0128","1969-12-22"
"31974H0598","1974-11-18"
"31962H0120(01)","1961-12-20"
"31961H0722","1961-06-14"
"31967H0655","1967-10-10"
"31962H0623(02)","1962-04-11"
"31987H0525","1987-10-08"
"31967H0452","1967-07-11"
"32006H0583","2006-08-17"
"31964H0263","1964-04-07"
"32017H0223(01)","2017-02-21"
"31996H0738","1996-12-02"
"32002H0627(01)","2002-06-13"
"31979H0570","1979-05-29"
"32008H0098","2007-12-06"
"31969H0035","1969-01-16"
"32008H0117","2008-02-12"
"31999H0231","1999-03-22"
"32003H0878","2003-12-02"
"32014H0663","2014-09-11"
"32000H0225","2000-03-13"
"31973H0157","1973-04-27"
"31968H0043","1967-12-21"
"31967H0730","1967-11-16"
"31963H0678","1963-12-10"
"31962H0315","1962-02-02"
"31963H0659","1963-11-26"
"31968H0147","1968-03-09"
"32001H0838","2001-11-07"
"31967H0082","1967-01-13"
"32011H0721(01)","2011-07-12"
"32012H0724(27)","2012-07-10"
"32012H0724(09)","2012-07-10"
"31989H0212","1989-03-20"
"31982H0472","1982-06-30"
"32015H0818(06)","2015-07-14"
"31969H0175","1969-05-22"
"32005H0925","2005-12-14"
"32012H0721(01)","2012-07-10"
"32002H0755","2002-09-16"
"31987H0142","1987-02-06"
"31986H0037","1986-02-28"
"31974H0184","1974-03-07"
"31990H0126","1990-03-12"
"31966H0485","1966-07-29"
"31998H0217","1998-03-19"
"31997H0077","1997-01-08"
"32011H1029(01)","2011-10-27"
"32017H0223(02)","2017-02-21"
"31997H0191","1997-03-17"
"32011H0723(02)","2011-07-12"
"31988H0041","1987-12-10"
"32017H0809(02)","2017-07-11"
"32017H0706(01)","2017-06-16"
"32005H0491","2005-06-03"
"32005H0162","2005-02-18"
"31970H0127","1969-12-22"
"32014H0662","2014-09-10"
"32011H0701(01)","2011-06-28"
"31991H0288","1991-06-03"
"32011H1028(01)","2011-10-27"
"32014H0118","2014-03-03"
"31975H0457","1975-07-22"
"31995H0326","1995-07-10"
"31992H0171","1992-03-16"
"32016H0818(09)","2016-07-12"
"32016H0193","2016-02-10"
"31977H0534","1977-07-25"
"32012H0798","2012-12-12"
"32010H0722","2010-07-13"
"31994H0181","1994-03-21"
"32003H0561","2003-07-23"
"32012H0724(13)","2012-07-10"
"32014H0193","2014-04-04"
"32005H0108","2005-02-04"
"32003H0887","2003-12-11"
"32013H0466","2013-09-11"
"31987H0179","1987-03-09"
"32017H0809(10)","2017-07-11"
"32011H0696","2011-10-18"
"31979H0167","1979-02-05"
"32012H0724(14)","2012-07-10"
"32005H0011","2004-12-28"
"32003H0047","2003-01-15"
"32007H0425","2007-06-13"
"31978H0519","1978-05-26"
"32014H0729(03)","2014-07-08"
"32014H0124","2014-03-07"
"31982H0604","1982-07-28"
"32011H0715(01)","2011-07-12"
"31993H0163","1993-03-15"
"32003H0734","2003-09-29"
"32008H0416","2008-04-10"
"32009H0113","2009-02-10"
"32014H0729(02)","2014-07-08"
"31998H0454","1998-07-06"
"31984H0550","1984-11-12"
"31968H0289","1968-06-21"
"32013H0730(19)","2013-07-09"
"32005H0207","2005-03-08"
"32011H0715(03)","2011-07-12"
"32014H0729(20)","2014-07-08"
"32011H0720(02)","2011-07-12"
"32003H0613","2003-08-06"
"32011H0720(04)","2011-07-12"
"31992H0442","1992-07-27"
"32011H0715(02)","2011-07-12"
"32006H0576","2006-08-17"
"32009H0824","2009-10-29"
"32016H0818(11)","2016-07-12"
"31966H0464","1966-07-27"
"32016H0818(14)","2016-07-12"
"32013H0730(06)","2013-07-09"
"32016H1117","2016-06-15"
"32010H0304","2010-05-12"
"32016H0818(17)","2016-07-12"
"32012H0724(02)","2012-07-10"
