"celex","date"
"31994R1427","1994-06-08"
"31983R3757","1983-12-19"
"31977R2930","1977-12-20"
"31986R1651","1986-05-26"
"31986R0338","1986-02-14"
"31989R4050","1989-12-19"
"32013R0297","2013-03-27"
"31973R1559","1973-05-14"
"31985R0224","1985-01-29"
"32007R0925","2007-07-23"
"32008R0015","2007-12-20"
"32015R0802","2015-05-19"
"32001R2414","2001-12-07"
"32001R0950","2001-05-14"
"32015R0768","2015-05-11"
"31967R0246","1967-07-01"
"32009R1133","2009-11-24"
"32003R1820","2003-10-16"
"31989R1674","1989-06-15"
"31999R1357","1999-06-25"
"31971R2031","1971-09-23"
"31990R2198","1990-07-27"
"31988R1430","1988-05-27"
"32015R1898","2015-10-21"
"31974R1039","1974-05-01"
"31976R1598","1976-07-02"
"31998R1795","1998-08-14"
"32001R1642","2001-08-10"
"31996R0543","1996-03-28"
"32016R0635","2016-04-22"
"31984R2550","1984-09-07"
"32000R1674","2000-07-28"
"31985R2463","1985-08-31"
"31991R3179","1991-10-31"
"31994R1511","1994-06-30"
"31999R0872","1999-04-27"
"31999R2202","1999-10-15"
"31974R1614","1974-06-25"
"31975R2542","1975-10-07"
"31991R0268","1991-02-01"
"31995R2479","1995-10-25"
"31991R3612","1991-12-12"
"31969R1431","1969-07-25"
"31994R0322","1994-02-11"
"31983R3546","1983-12-13"
"31983R1487","1983-06-09"
"32001R2049","2001-10-19"
"31980R0943","1980-04-14"
"31990R2609","1990-09-11"
"32015R1384","2015-08-10"
"31989R2337","1989-08-01"
"31986R3636","1986-11-28"
"32002R2126","2002-11-29"
"31969R2102","1969-10-25"
"31974R1122","1974-04-29"
"31990R2493","1990-08-31"
"31997R1892","1997-09-29"
"32001R1804","2001-09-13"
"31983R1569","1983-06-14"
"32003R0199","2003-02-03"
"32006R1522","2006-10-12"
"31989R3334","1989-11-07"
"32002R2303","2002-12-09"
"32013R0246","2013-03-19"
"31982R3560","1982-12-31"
"31984R3717","1984-12-29"
"31982R0942","1982-04-24"
"31998R2223","1998-10-15"
"31979R2329","1979-10-23"
"31996R0534","1996-03-27"
"31990R3036","1990-10-20"
"31975R2342","1975-09-12"
"31983R2870","1983-10-14"
"32003R0757","2003-04-29"
"31992R0660","1992-03-13"
"32017R0751","2017-03-16"
"31976R0740","1976-04-01"
"31970R0871","1970-05-15"
"31984R1662","1984-06-13"
"31972R0076","1972-01-11"
"31999R0712","1999-03-31"
"31987R3685","1987-12-10"
"31975R1329","1975-05-27"
"31978R0279","1978-02-10"
"31998R2521","1998-11-24"
"31980R2419","1980-09-19"
"31973R0209","1973-01-30"
"31991R3849","1991-12-31"
"31992R3471","1992-12-01"
"32016R2216","2016-12-08"
"32007R0234","2007-03-05"
"32008R1183","2008-11-28"
"31998R1306","1998-06-24"
"31976R1332","1976-06-10"
"31990R0029","1990-01-06"
"32000R1723","2000-08-01"
"31989R0724","1989-03-22"
"31981R3197","1981-11-09"
"32014R1096","2014-10-15"
"31989R1188","1989-05-03"
"31991R1149","1991-05-04"
"31999R1354","1999-06-25"
"31990R2533","1990-09-01"
"32007R0579","2007-05-25"
"32001R1465","2001-07-17"
"31972R1628","1972-07-28"
"31997R1361","1997-07-15"
"32003R0103","2003-01-21"
"32017R0455","2017-03-15"
"31970R2543","1970-12-18"
"31993R2383","1993-08-28"
"31992R1554","1992-06-18"
"32002R1399","2002-07-31"
"31974R1764","1974-07-09"
"32004R0305","2004-02-20"
"32002R1432","2002-08-05"
"31986R2706","1986-08-28"
"31985R2262","1985-08-02"
"31987R1827","1987-07-01"
"31981R2487","1981-08-27"
"32004R1586","2004-09-09"
"31989R0173","1989-01-26"
"31975R2259","1975-09-03"
"31974R0609","1974-03-15"
"32000R1438","2000-06-30"
"31994R2776","1994-11-16"
"31992R3091","1992-10-27"
"31984R3369","1984-11-30"
"31989R1327","1989-05-16"
"31975R2663","1975-10-21"
"32001R0852","2001-04-30"
"31986R1383","1986-05-08"
"31999R0363","1999-02-18"
"31989R2064","1989-07-10"
"31969R1579","1969-08-09"
"31984R0167","1984-01-25"
"31969R0024","1969-01-07"
"31982R3362","1982-12-06"
"32000R2873","2000-12-28"
"31996R0044","1996-01-12"
"31970R1506","1970-07-28"
"32000R2568","2000-11-21"
"32000R0915","2000-05-02"
"31974R1060","1974-05-01"
"31985R1872","1985-07-05"
"31980R1137","1980-05-08"
"32016R1826","2016-10-14"
"31973R2172","1973-08-08"
"31993R1866","1993-07-13"
"32005R0152","2005-01-28"
"31979R1532","1979-07-20"
"31975R3088","1975-11-28"
"31989R0997","1989-04-19"
"31991R2397","1991-08-08"
"32000R1724","2000-08-02"
"31992R2642","1992-09-12"
"31968R1023","1968-07-23"
"31973R3379","1973-12-15"
"31968R0932","1968-07-11"
"32000R0040","2000-01-07"
"31990R0448","1990-02-23"
"31984R3385","1984-11-27"
"31981R3260","1981-11-09"
"32004R2053","2004-11-22"
"32013R0680","2013-07-15"
"31992R2157","1992-07-23"
"31984R2876","1984-09-21"
"31996R2113","1996-10-25"
"31989R1857","1989-06-21"
"31992R1756","1992-06-30"
"32006R0123","2006-01-23"
"31988R1970","1988-06-30"
"31997R0397","1996-12-20"
"31999R0190","1999-01-27"
